# time   #sound   #sound-evelope   #vS-envelope
20.486625 -63.000000 1226.400550 1229.542064
20.486646 -107.000000 1225.677090 1228.996465
20.486667 -133.000000 1224.966384 1228.461361
20.486687 -143.000000 1224.273232 1227.940339
20.486708 -138.000000 1223.602152 1227.436759
20.486729 -122.000000 1222.957307 1226.953701
20.486750 -108.000000 1222.342451 1226.493927
20.486771 -110.000000 1221.760879 1226.059848
20.486792 -133.000000 1221.215400 1225.653499
20.486812 -164.000000 1220.708302 1225.276523
20.486833 -180.000000 1220.241349 1224.930160
20.486854 -168.000000 1219.815772 1224.615252
20.486875 -142.000000 1219.432277 1224.332246
20.486896 -133.000000 1219.091064 1224.081206
20.486917 -154.000000 1218.791846 1223.861837
20.486937 -190.000000 1218.533884 1223.673506
20.486958 -219.000000 1218.316020 1223.515271
20.486979 -221.000000 1218.136718 1223.385910
20.487000 -199.000000 1217.994113 1223.283960
20.487021 -169.000000 1217.886050 1223.207751
20.487042 -154.000000 1217.810141 1223.155438
20.487063 -173.000000 1217.763807 1223.125045
20.487083 -218.000000 1217.744329 1223.114497
20.487104 -263.000000 1217.748895 1223.121656
20.487125 -297.000000 1217.774644 1223.144356
20.487146 -314.000000 1217.818711 1223.180431
20.487167 -307.000000 1217.878263 1223.227748
20.487188 -281.000000 1217.950537 1223.284234
20.487208 -260.000000 1218.032870 1223.347895
20.487229 -278.000000 1218.122731 1223.416841
20.487250 -324.000000 1218.217742 1223.489300
20.487271 -358.000000 1218.315695 1223.563636
20.487292 -350.000000 1218.414574 1223.638354
20.487313 -311.000000 1218.512561 1223.712116
20.487333 -262.000000 1218.608045 1223.783739
20.487354 -228.000000 1218.699629 1223.852200
20.487375 -231.000000 1218.786124 1223.916636
20.487396 -264.000000 1218.866550 1223.976342
20.487417 -287.000000 1218.940132 1224.030762
20.487437 -273.000000 1219.006286 1224.079489
20.487458 -232.000000 1219.064614 1224.122250
20.487479 -187.000000 1219.114891 1224.158903
20.487500 -147.000000 1219.157048 1224.189419
20.487521 -107.000000 1219.191160 1224.213879
20.487542 -69.000000 1219.217429 1224.232456
20.487562 -41.000000 1219.236169 1224.245402
20.487583 -23.000000 1219.247790 1224.253043
20.487604 -13.000000 1219.252779 1224.255759
20.487625 -8.000000 1219.251688 1224.253975
20.487646 -1.000000 1219.245117 1224.248151
20.487667 31.000000 1219.233696 1224.238770
20.487687 107.000000 1219.218078 1224.226325
20.487708 193.000000 1219.198921 1224.211315
20.487729 237.000000 1219.176880 1224.194231
20.487750 223.000000 1219.152592 1224.175555
20.487771 200.000000 1219.126672 1224.155744
20.487792 221.000000 1219.099704 1224.135234
20.487813 272.000000 1219.072230 1224.114430
20.487833 305.000000 1219.044752 1224.093701
20.487854 298.000000 1219.017722 1224.073381
20.487875 277.000000 1218.991543 1224.053767
20.487896 279.000000 1218.966563 1224.035113
20.487917 305.000000 1218.943080 1224.017635
20.487938 326.000000 1218.921338 1224.001509
20.487958 331.000000 1218.901528 1223.986871
20.487979 335.000000 1218.883792 1223.973820
20.488000 348.000000 1218.868226 1223.962420
20.488021 348.000000 1218.854877 1223.952701
20.488042 318.000000 1218.843756 1223.944664
20.488063 280.000000 1218.834834 1223.938281
20.488083 255.000000 1218.828049 1223.933501
20.488104 246.000000 1218.823309 1223.930249
20.488125 245.000000 1218.820500 1223.928435
20.488146 252.000000 1218.819484 1223.927952
20.488167 264.000000 1218.820108 1223.928683
20.488187 271.000000 1218.822208 1223.930501
20.488208 272.000000 1218.825610 1223.933273
20.488229 266.000000 1218.830135 1223.936864
20.488250 252.000000 1218.835604 1223.941139
20.488271 230.000000 1218.841838 1223.945963
20.488292 215.000000 1218.848664 1223.951206
20.488312 227.000000 1218.855914 1223.956743
20.488333 270.000000 1218.863431 1223.962456
20.488354 322.000000 1218.871067 1223.968235
20.488375 360.000000 1218.878686 1223.973981
20.488396 364.000000 1218.886167 1223.979602
20.488417 340.000000 1218.893401 1223.985021
20.488437 316.000000 1218.900294 1223.990166
20.488458 321.000000 1218.906766 1223.994982
20.488479 353.000000 1218.912751 1223.999421
20.488500 387.000000 1218.918200 1224.003446
20.488521 408.000000 1218.923073 1224.007032
20.488542 411.000000 1218.927348 1224.010161
20.488563 404.000000 1218.931010 1224.012827
20.488583 403.000000 1218.934059 1224.015030
20.488604 418.000000 1218.936503 1224.016779
20.488625 442.000000 1218.938361 1224.018087
20.488646 449.000000 1218.939657 1224.018976
20.488667 434.000000 1218.940424 1224.019472
20.488688 408.000000 1218.940700 1224.019602
20.488708 386.000000 1218.940528 1224.019401
20.488729 380.000000 1218.939952 1224.018903
20.488750 388.000000 1218.939021 1224.018144
20.488771 398.000000 1218.937783 1224.017162
20.488792 397.000000 1218.936288 1224.015994
20.488813 377.000000 1218.934585 1224.014676
20.488833 339.000000 1218.932721 1224.013244
20.488854 285.000000 1218.930742 1224.011733
20.488875 229.000000 1218.928691 1224.010174
20.488896 192.000000 1218.926608 1224.008598
20.488917 175.000000 1218.924531 1224.007032
20.488937 156.000000 1218.922492 1224.005501
20.488958 124.000000 1218.920522 1224.004025
20.488979 97.000000 1218.918646 1224.002624
20.489000 99.000000 1218.916885 1224.001314
20.489021 120.000000 1218.915257 1224.000107
20.489042 120.000000 1218.913776 1223.999013
20.489062 81.000000 1218.912453 1223.998040
20.489083 19.000000 1218.911293 1223.997191
20.489104 -28.000000 1218.910300 1223.996468
20.489125 -34.000000 1218.909475 1223.995872
20.489146 -1.000000 1218.908815 1223.995400
20.489167 48.000000 1218.908314 1223.995048
20.489187 83.000000 1218.907967 1223.994810
20.489208 93.000000 1218.907763 1223.994679
20.489229 78.000000 1218.907693 1223.994648
20.489250 49.000000 1218.907745 1223.994706
20.489271 17.000000 1218.907907 1223.994846
20.489292 9.000000 1218.908165 1223.995056
20.489313 37.000000 1218.908507 1223.995326
20.489333 88.000000 1218.908918 1223.995647
20.489354 137.000000 1218.909385 1223.996009
20.489375 172.000000 1218.909896 1223.996401
20.489396 186.000000 1218.910438 1223.996815
20.489417 168.000000 1218.910998 1223.997241
20.489438 124.000000 1218.911567 1223.997671
20.489458 90.000000 1218.912134 1223.998099
20.489479 97.000000 1218.912691 1223.998516
20.489500 132.000000 1218.913228 1223.998919
20.489521 170.000000 1218.913739 1223.999300
20.489542 198.000000 1218.914218 1223.999657
20.489563 198.000000 1218.914661 1223.999985
20.489583 158.000000 1218.915064 1224.000283
20.489604 92.000000 1218.915423 1224.000547
20.489625 42.000000 1218.915738 1224.000777
20.489646 36.000000 1218.916007 1224.000973
20.489667 65.000000 1218.916231 1224.001134
20.489687 99.000000 1218.916409 1224.001262
20.489708 106.000000 1218.916544 1224.001357
20.489729 75.000000 1218.916637 1224.001420
20.489750 25.000000 1218.916691 1224.001455
20.489771 -19.000000 1218.916708 1224.001462
20.489792 -39.000000 1218.916693 1224.001445
20.489812 -34.000000 1218.916647 1224.001406
20.489833 -1.000000 1218.916576 1224.001348
20.489854 48.000000 1218.916481 1224.001273
20.489875 88.000000 1218.916368 1224.001185
20.489896 89.000000 1218.916240 1224.001086
20.489917 55.000000 1218.916100 1224.000978
20.489937 18.000000 1218.915952 1224.000865
20.489958 5.000000 1218.915798 1224.000749
20.489979 21.000000 1218.915643 1224.000631
20.490000 55.000000 1218.915488 1224.000514
20.490021 97.000000 1218.915336 1224.000400
20.490042 138.000000 1218.915190 1224.000291
20.490063 172.000000 1218.915050 1224.000187
20.490083 192.000000 1218.914920 1224.000090
20.490104 196.000000 1218.914799 1224.000000
20.490125 194.000000 1218.914690 1223.999919
20.490146 196.000000 1218.914592 1223.999848
20.490167 207.000000 1218.914507 1223.999785
20.490188 230.000000 1218.914434 1223.999732
20.490208 268.000000 1218.914373 1223.999688
20.490229 301.000000 1218.914325 1223.999654
20.490250 305.000000 1218.914289 1223.999628
20.490271 286.000000 1218.914264 1223.999611
20.490292 284.000000 1218.914250 1223.999602
20.490313 307.000000 1218.914245 1223.999601
20.490333 324.000000 1218.914250 1223.999606
20.490354 304.000000 1218.914263 1223.999616
20.490375 263.000000 1218.914282 1223.999633
20.490396 234.000000 1218.914308 1223.999653
20.490417 224.000000 1218.914340 1223.999677
20.490437 220.000000 1218.914375 1223.999705
20.490458 212.000000 1218.914413 1223.999734
20.490479 199.000000 1218.914454 1223.999765
20.490500 186.000000 1218.914496 1223.999797
20.490521 170.000000 1218.914538 1223.999829
20.490542 145.000000 1218.914580 1223.999861
20.490562 111.000000 1218.914622 1223.999892
20.490583 80.000000 1218.914662 1223.999922
20.490604 64.000000 1218.914700 1223.999950
20.490625 69.000000 1218.914735 1223.999977
20.490646 83.000000 1218.914768 1224.000001
20.490667 89.000000 1218.914798 1224.000023
20.490687 80.000000 1218.914824 1224.000042
20.490708 65.000000 1218.914848 1224.000059
20.490729 54.000000 1218.914867 1224.000074
20.490750 47.000000 1218.914884 1224.000086
20.490771 32.000000 1218.914897 1224.000095
20.490792 14.000000 1218.914907 1224.000102
20.490813 11.000000 1218.914913 1224.000106
20.490833 37.000000 1218.914917 1224.000109
20.490854 79.000000 1218.914918 1224.000109
20.490875 105.000000 1218.914917 1224.000108
20.490896 101.000000 1218.914913 1224.000105
20.490917 77.000000 1218.914908 1224.000100
20.490938 55.000000 1218.914900 1224.000094
20.490958 37.000000 1218.914892 1224.000088
20.490979 21.000000 1218.914882 1224.000080
20.491000 14.000000 1218.914872 1224.000072
20.491021 27.000000 1218.914861 1224.000064
20.491042 45.000000 1218.914849 1224.000055
20.491063 49.000000 1218.914838 1224.000046
20.491083 36.000000 1218.914826 1224.000038
20.491104 18.000000 1218.914815 1224.000029
20.491125 -2.000000 1218.914804 1224.000021
20.491146 -34.000000 1218.914793 1224.000013
20.491167 -78.000000 1218.914784 1224.000006
20.491187 -123.000000 1218.914775 1223.999999
20.491208 -152.000000 1218.914767 1223.999993
20.491229 -155.000000 1218.914760 1223.999988
20.491250 -134.000000 1218.914753 1223.999984
